CDM project reference number,HostParty,Issuance process ID,Issuance date,Status,Total,Vintage Year
1603,CN,TUEV-SUED1243420612.95,27/1/10,Held," 11,661 ",2008
1609,CN,DNV-CUK1247555014.42,25/1/10,Held," 496,778 ",2008
892,CN,DNV-CUK1250234948.98,25/1/10,Held," 437,037 ",2009
807,AR,TUEV-SUED1248784287.66,25/1/10,Held," 406,103 ",2009
99,KR,TUEV-SUED1254393469.68,25/1/10,Held," 1,001,948 ",2009
1621,CN,BVQI1249013834.57,21/1/10,Held," 40,485 ",2009
2031,CN,BVQI1250504494.71,21/1/10,Held," 65,526 ",2009
1624,CN,BVQI1252663059.62,21/1/10,Held," 26,344 ",2009
765,KR,DNV-CUK1247463838.52,21/1/10,Held," 483,997 ",2009
1608,CN,DNV-CUK1247555405.07,21/1/10,Held," 43,430 ",2008
787,MN,KEMCO1233283860.05,21/1/10,Held, 48 ,2008
826,IN,SGS-UKL1210596950.55,21/1/10,Held," 59,267 ",2007
116,BR,TUEV-SUED1254753659.14,21/1/10,Held," 582,005 ",2009
1622,CN,BVQI1253008841.6,20/1/10,Held," 32,528 ",2009
1623,CN,BVQI1253008964.93,20/1/10,Held," 23,287 ",2009
1320,CN,DNV-CUK1242123859.63,20/1/10,Held," 351,183 ",2008
2088,CN,BVQI1247850370.62,18/1/10,Held," 35,017 ",2009
1755,CN,BVQI1251694735.94,18/1/10,Held," 39,149 ",2009
1619,CN,BVQI1253008435.19,18/1/10,Held," 51,121 ",2009
1369,IL,DNV-CUK1215677247.18,18/1/10,Held," 164,411 ",2008
1410,BR,DNV-CUK1234931553.82,18/1/10,Held," 43,033 ",2008
943,IN,DNV-CUK1238642156.08,18/1/10,Held," 39,278 ",2007
1269,CN,RWTUV1251810516.31,18/1/10,Held," 58,521 ",2008
1949,IN,BVQI1250745473.94,15/1/10,Held," 64,712 ",2008
496,IN,DNV-CUK1244176935.95,15/1/10,Held," 57,569 ",2008
1010,CN,RWTUV1229336634.84,15/1/10,Held," 31,596 ",2008
1190,CN,RWTUV1252390518.8,15/1/10,Held," 65,398 ",2008
1376,CN,RWTUV1252505777.28,15/1/10,Held," 54,441 ",2008
1686,CN,TUEV-SUED1241684566.56,15/1/10,Held," 51,022 ",2008
1437,CN,DNV-CUK1224748616.37,13/1/10,Held," 188,581 ",2008
1869,CN,SGS-UKL1244541546.38,12/1/10,Held," 85,199 ",2008
1830,CN,SGS-UKL1244541924.63,12/1/10,Held," 89,550 ",2008
426,AR,DNV-CUK1235362656.99,8/1/10,Held," 284,358 ",2008
123,IN,DNV-CUK1235489073.98,6/1/10,Held," 15,338 ",2008
993,CN,DNV-CUK1236227156.64,6/1/10,Held," 8,985 ",2008
249,MY,DNV-CUK1239011409.6,6/1/10,Held," 34,171 ",2007
574,CN,RWTUV1236355880.28,6/1/10,Held," 130,689 ",2008
137,BR,SGS-UKL1218532154.21,6/1/10,Held," 32,593 ",2004
1435,CL,TUEV-SUED1223577524.33,6/1/10,Held," 3,275 ",2008
1319,CN,DNV-CUK1239170809.83,5/1/10,Held," 103,037 ",2008
331,IN,TUEV-SUED1233142421.54,5/1/10,Held," 48,307 ",2008
1327,CN,BVQI1246289417.85,4/1/10,Held," 72,045 ",2008
428,MX,DNV-CUK1210532969.84,4/1/10,Held," 7,033 ",2007
946,IN,RWTUV1237285691.09,4/1/10,Held," 5,663 ",2007
170,CL,SGS-UKL1231861425.44,4/1/10,Held," 47,016 ",2008
8,BR,SGS-UKL1239876814.31,4/1/10,Held," 81,530 ",2008
115,IN,SGS-UKL1240913236.71,4/1/10,Held," 1,199,266 ",2009
329,IN,TUEV-SUED1220277645.78,4/1/10,Held," 25,589 ",2007
1228,CN,TUEV-SUED1241687622.56,4/1/10,Held," 296,377 ",2008
2113,CN,BVQI1252052355.75,30/12/09,Held," 62,116 ",2009
467,BR,DNV-CUK1191706520.96,30/12/09,Held," 18,630 ",2006
1670,CN,DNV-CUK1247555945.43,30/12/09,Held," 12,259 ",2009
418,BR,DNV-CUK1247807241.02,30/12/09,Held," 23,557 ",2008
467,BR,DNV-CUK1247823898.67,30/12/09,Held," 37,685 ",2008
411,BR,DNV-CUK1247824421.37,30/12/09,Held," 29,634 ",2008
420,BR,DNV-CUK1247824741.01,30/12/09,Held," 25,313 ",2008
812,CN,DNV-CUK1250761564.73,30/12/09,Held," 481,007 ",2009
1433,CN,RWTUV1248332301.34,30/12/09,Held," 170,748 ",2008
1432,CN,RWTUV1252400675.92,30/12/09,Held," 109,257 ",2009
2014,CN,RWTUV1252407389.33,30/12/09,Held," 24,078 ",2009
1365,CN,RWTUV1252646430.73,30/12/09,Held," 99,245 ",2008
1079,CN,TUEV-SUED1222773839.6,30/12/09,Held," 72,438 ",2007
239,JM,TUEV-SUED1245241371.28,30/12/09,Held," 39,017 ",2008
1522,CN,TUEV-SUED1245768200.38,30/12/09,Held," 30,551 ",2008
116,BR,TUEV-SUED1252322199.49,30/12/09,Held," 855,346 ",2009
2133,CN,BVQI1252661477.31,23/12/09,Held," 187,950 ",2009
472,BR,DNV-CUK1247823366.25,23/12/09,Held," 72,586 ",2008
1367,CN,RWTUV1252410845.35,23/12/09,Held," 61,524 ",2008
1590,CN,RWTUV1253522097.89,23/12/09,Held," 450,576 ",2009
1353,CN,BVQI1220281706.71,21/12/09,Held," 46,487 ",2008
467,BR,DNV-CUK1212991415.01,21/12/09,Held," 17,721 ",2007
426,AR,DNV-CUK1219418334.16,21/12/09,Held," 199,883 ",2008
99,KR,TUEV-SUED1252322839.48,21/12/09,Held," 923,679 ",2009
463,MX,DNV-CUK1220993057.1,18/12/09,Held," 7,165 ",2007
1439,CN,DNV-CUK1242026696.48,17/12/09,Held," 32,046 ",2008
490,EG,DNV-CUK1247720447.03,17/12/09,Held," 440,567 ",2009
1262,CN,RWTUV1251809216.16,17/12/09,Held," 288,753 ",2009
254,CL,SGS-UKL1229681644.21,17/12/09,Held," 51,239 ",2007
577,IN,SGS-UKL1239781029.69,17/12/09,Held," 104,155 ",2008
164,BR,TUEV-SUED1246609152.49,17/12/09,Held," 89,083 ",2009
2170,CN,TUEV-SUED1246967611.35,17/12/09,Held," 31,556 ",2008
1223,CN,ERM-CVS1248451372.32,16/12/09,Held," 121,637 ",2008
2070,CN,RWTUV1252077024.05,16/12/09,Held," 134,455 ",2009
1083,CN,SGS-UKL1208528621.44,16/12/09,Held," 437,180 ",2008
