PA/PoA,CDM project reference number,HostParty,DOE,Project type (UNEP DTU),Project subtype (UNEP DTU),Issuance process ID,Issuance date,Monitoring report started,Monitoring report ended, Units - Total ,CP,Monitoring report number,Last_updated
PA,10510,CO,TUV NORD,Reforestation,Reforestation,RWTUV1639050384.04,16/3/23,16/6/14,28/2/20," 61,807 ",2,1,21Jun2023
PA,8174,CN,CCSC,Wind,Wind,CCSC_DOE1632291714.5,9/3/23,1/1/17,30/4/20," 374,643 ",2,2,21Jun2023
PA,554,CN,CCSC,Hydro,Run of river,CCSC_DOE1648610125.05,9/3/23,30/9/13,29/9/20," 205,057 ",2,7,21Jun2023
PA,9570,CV,RINA,Wind,Wind,RINA1653915848.38,7/3/23,1/4/20,31/12/20," 27,463 ",2,7,21Jun2023
PA,7444,IN,LGAI,Biomass Energy,Agricultural residues: rice husk,Applus1621620492.05,6/3/23,1/1/13,31/12/20," 213,185 ",2,1,21Jun2023
PA,554,CN,CCSC,Hydro,Run of river,CCSC_DOE1648609942.38,3/3/23,1/1/13,29/9/13," 28,491 ",2,6,21Jun2023
PA,10013,IN,LGAI,Wind,Wind,Applus1649184529.93,2/3/23,1/8/14,31/12/20," 112,451 ",2,1,21Jun2023
PA,9918,IN,LGAI,Wind,Wind,Applus1649270685.01,2/3/23,1/4/14,31/12/20," 24,051 ",2,1,21Jun2023
PA,9586,IN,LGAI,Wind,Wind,Applus1654249113.1,2/3/23,14/1/14,31/12/20," 17,266 ",2,1,21Jun2023
PA,1032,CN,CTI,Biomass Energy,Agricultural residues: other kinds,CTI1651192996.75,2/3/23,1/8/07,31/12/12," 755,115 ",1,2,21Jun2023
PA,1032,CN,CTI,Biomass Energy,Agricultural residues: other kinds,CTI1651192996.75,2/3/23,1/1/13,16/6/14," 201,751 ",2,2,21Jun2023
PA,1032,CN,CTI,Biomass Energy,Agricultural residues: other kinds,CTI1651799881.45,2/3/23,7/1/17,31/12/20," 344,157 ",2,3,21Jun2023
